Identity
x	y	Single Precision RHS	Double Precision RHS
0.0	1.0	0.0	0.0
0.0	-1.0	0.0	0.0
1.0	1.0	1.0	1.0
-1.0	1.0	-1.0	-1.0
12.1	12.1	12.100098	12.099999999999909
123.21	123.21	123.125	123.20999999996275
1234.321	12345.4321	0.0	1234.3210144042969
12345.4321	12345.4321	0.0	12345.43212890625
123456.54321	123456.54321	0.0	123456.5
1234567.654321	1234567.654321	0.0	1234432.0
1.23456787654321E7	1.23456787654321E7	0.0	1.2320768E7
1.2345678987654321E8	1.2345678987654321E8	0.0	2.68435456E8
-1.9263418214378932E8	-3.1267389412946E7	0.0	-2.01326592E8
879419.13245	2.5	879419.0	879419.1324500004
0.6193494356510649	0.4928541894285903	0.6193494	0.6193494356510649
0.22800459535911666	2.713650059007583	0.2280047	0.22800459535911655
0.8799818839276362	76.5105718418521	0.8803711	0.8799818839270301
0.21565727300553506	944.5663655370945	0.21875	0.21565727301640436
0.6226279632360853	7491.205903850664	0.0	0.6226279586553574
0.5615273444720499	53052.61523613183	0.0	0.5615272521972656
0.8760077481659397	147122.5827108916	0.0	0.876007080078125
0.8039988939850475	3015757.7971426486	0.0	0.8046875
1.3541176712873049	0.9993861033798366	1.3541175	1.354117671287305
7.984669340486921	6.355075325495575	7.98468	7.984669340486903
4.5532284856074465	70.89213548053482	4.5546875	4.553228485608997
1.9082657443309115	52.09732780148357	1.9082031	1.9082657443304925
4.697962179502024	5418.074201975246	0.0	4.697962194681168
4.926861873789097	84321.03675268924	0.0	4.926856994628906
3.1181962661581264	909600.3313803693	0.0	3.1181640625
3.8626414444109978	8104365.785138368	0.0	3.84375
9.916464467924834	0.35059451637543315	9.916465	9.916464467924834
47.38438279345317	7.501788211613194	47.384277	47.38438279345337
38.17792804177223	1.8318044803760536	38.177933	38.17792804177222
80.4825196366693	233.3432995023319	80.5	80.48251963686198
70.45606471429211	6584.930010855717	0.0	70.45606517791748
16.282499668658858	91525.88454000402	0.0	16.282501220703125
22.938624526609054	509794.503722236	0.0	22.9384765625
27.59425862084096	811773.245028975	0.0	27.59375
181.57087906705073	0.29909314825593136	181.57088	181.57087906705073
825.2212883523529	3.836850894924196	825.2217	825.2212883523534
738.4556243696476	51.846703980141186	738.375	738.4556243699044
369.5004163071427	760.5807320501563	384.0	369.50041630864143
861.624129622678	4691.217539825935	2048.0	861.6241302490234
79.26622112143167	33525.23059935422	0.0	79.2662353515625
489.2806287528648	136457.2428065718	0.0	489.28125
477.7746765564909	6963124.947773946	0.0	480.0
4516.133099903735	0.8208732074281292	4516.1333	4516.133099903735
2246.3266908306055	3.2922754109230556	2246.3262	2246.326690830607
4495.055395223506	59.05052464224363	4495.0	4495.0553952232
3451.8879953534033	129.9022239854436	3452.0	3451.8879953473806
4457.463591432076	449.36046917746995	4416.0	4457.463591456413
2084.9816445326787	86865.92366205114	0.0	2084.98046875
8579.311845824874	583027.5415284892	0.0	8579.5
9872.905079105678	1927787.4381880334	0.0	9872.0
1353.2399698811814	0.3533710084490358	1353.24	1353.2399698811812
29528.463607696263	2.567395089351522	29528.453	29528.463607696263
43015.84205977864	33.245443776706466	43016.0	43015.84205976874
19035.599345634102	351.5302463915934	18944.0	19035.59934568405
61780.94337127803	5234.970841959192	0.0	61780.943359375
75647.8811678581	96787.60971088022	0.0	75647.875
26497.648563155897	98003.74500151743	0.0	26497.625
3302.785819197307	5729518.441580482	0.0	3296.0
866719.8720109484	0.412441799388344	866719.94	866719.8720109485
146939.17233350873	0.061297911348949796	146939.17	146939.17233350873
80402.19754612332	22.40466390394885	80400.0	80402.19754613191
121392.9538423525	806.5371442102709	122880.0	121392.95384216309
353539.8516566699	1026.117557617433	360448.0	353539.85162353516
984096.2007239766	97367.39890449887	0.0	984096.0
658276.2153936323	989222.0522505904	0.0	658304.0
478906.4234630365	6320697.576555119	0.0	479232.0
4882690.151302418	0.08823995543160013	4882690.0	4882690.151302419
8964519.085091956	8.219323948104774	8964544.0	8964519.085091949
6263226.592577061	79.54559036308105	6262784.0	6263226.592575073
2825682.6769854547	169.97131660162069	2826240.0	2825682.6769866943
5748866.387613703	1631.6597573889292	5242880.0	5748866.38671875
5577847.957775583	50805.13196613344	0.0	5577848.0
9565784.920394707	482041.3375796055	0.0	9565952.0
8867583.893386554	6020619.342546798	0.0	8847360.0
